"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C4, C5, C6, C7, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C23, C24, C25, C26, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C42, C43, C46, C47";"C_0603_1608Metric";36;"100nF 100V";;;
2;"C3, C10";"C_0603_1608Metric";2;"10uF 5%";;;
3;"C8, C9";"C_0603_1608Metric";2;"27uF 5%";;;
4;"C21, C22";"C_0603_1608Metric";2;"470pF 50V";;;
5;"C27";"C_0603_1608Metric";1;"1uF";;;
6;"C40";"C_0603_1608Metric";1;"100pF";;;
7;"C41, C44, C45, C50, C51";"C_0603_1608Metric";5;"100pF 50V";;;
8;"C48, C49";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"10nF";;;
9;"D1, D2";"SOT-23-3";2;"MMBD914LT3G";;;
10;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED [XL-2012SURC]";;;
11;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GREEN [XL-2012UGC]";;;
12;"D5, D6";"D_SOD-123";2;"1N4148W";;;
13;"J2, J9, J10, J13";"PinSocket_2x02_P1.27mm_Vertical";4;"Conn_02x02_Odd_Even";;;
14;"J3, J6";"PinHeader_1x02_P1.27mm_Vertical";2;"Conn_01x02";;;
15;"J5, J14, J16";"PinSocket_2x03_P1.27mm_Vertical";3;"Conn_02x03_Counter_Clockwise";;;
16;"J7, J8";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";2;"Conn_01x02";;;
17;"J15";"PinSocket_2x04_P1.27mm_Vertical";1;"Conn_02x04_Counter_Clockwise";;;
18;"R1, R3, R18, R22, R24, R44, R51, R59, R82, R89, R92, R96, R100";"POT_PV36W_BRN";13;"PV36W104C01B00";;;
19;"R2, R5, R6, R16, R23, R29, R30, R31, R48, R49";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";10;"10K";;;
20;"R4, R15, R17, R19, R20, R21, R26, R28, R33, R37, R47, R50, R93";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";13;"10kΩ";;;
21;"R9, R35, R84";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"1MΩ 5%";;;
22;"R25";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"301kΩ 1%";;;
23;"R27";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10.2kΩ 1%";;;
24;"R34";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"976kΩ 1%";;;
25;"R38";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"402kΩ 1%";;;
26;"R39";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"6.65kΩ 1%";;;
27;"R42";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10kΩ 1%";;;
28;"R52, R53";"POT_PV36W_BRN";2;"PV36W502C01B00";;;
29;"R54, R55, R81";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"100KΩ";;;
30;"R56, R57, R58, R67, R69, R70, R74, R87, R88";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";9;"1KΩ";;;
31;"R60, R61, R62, R63, R64, R65, R66, R83, R90, R91, R94, R97, R98, R101, R102, R104, R105";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";17;"10KΩ";;;
32;"R68";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100Ω";;;
33;"R71, R72";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"470Ω";;;
34;"R75";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"51KΩ";;;
35;"R85";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"680Ω";;;
36;"R86";"POT_PV36W_BRN";1;"PV36W103C01B00";;;
37;"R95, R99, R103";"POT_PV36W_BRN";3;"PV36W204C01B00";;;
38;"TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29";"TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded";26;"TestPoint";;;
39;"U1, U2, U4, U5, U7, U8, U17, U20, U22, U23, U24, U26";"SOIC-8_5.3x5.3mm_P1.27mm";12;"TL082";;;
40;"U14";"SOIC-8_3.9x4.9mm_P1.27mm";1;"REF102CU";;;
41;"U16";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74LS32";;;
42;"U19, U21";"SOIC-8_3.9x4.9mm_P1.27mm";2;"NE555D";;;
